label,file_name,text
80,image_02014.jpg,a pink anthurium in the dark
80,image_02035.jpg,a red anthurium with a white flower in the middle of the flower
80,image_02047.jpg,a red anthurium with a green background
80,image_01973.jpg,a close up of a red anthurium
80,image_02058.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_02053.jpg,a red anthurium in the garden
80,image_02024.jpg,a pink anthurium with a yellow flower in the middle of the flower
80,image_02040.jpg,a pink anthurium in the middle of the flower
80,image_02025.jpg,a red anthurium in the middle of a flower
80,image_01998.jpg,a pink anthurium in the garden
80,image_02048.jpg,a close up of a red anthurium
80,image_02044.jpg,a pink anthurium in the grass
80,image_02052.jpg,a pink anthurium with a green leaf on top
80,image_02064.jpg,two anthuriums in the garden
80,image_01986.jpg,a red anthurium with white flowers in the middle of the flower
80,image_01997.jpg,a pink anthurium in the middle of the flower
80,image_01966.jpg,a pink anthurium with a green leaf on it
80,image_01982.jpg,a pink anthurium in the garden
80,image_02006.jpg,a red anthurium in the middle of the garden
80,image_01971.jpg,a red anthurium with yellow flowers
80,image_02012.jpg,a red anthurium on a green leaf
80,image_02054.jpg,a close up of a anthurium with a pink flower
80,image_02001.jpg,a pink anthurium in a pot with green leaves
80,image_02027.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_01988.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_02016.jpg,a red anthurium with a green stem
80,image_02039.jpg,a red anthurium in the garden
80,image_02038.jpg,a pink anthurium in the garden
80,image_02003.jpg,a pink and yellow anthurium in the garden
80,image_01968.jpg,a close up of a anthurium with a white flower
80,image_02060.jpg,a close up of a anthurium
80,image_02046.jpg,a pink anthurium in the garden
80,image_02007.jpg,a pink anthurium with pink flowers on a blue background
80,image_02061.jpg,a red anthurium with a white flower bud on it
80,image_02068.jpg,a pink anthurium with a green leaf on it
80,image_02026.jpg,a pink anthurium with a small insect on it
80,image_01999.jpg,a pink anthurium with a heart shaped like a heart
80,image_01965.jpg,two red anthuriums in the garden
80,image_02063.jpg,a close up of a anthurium with a small bird on it
80,image_02065.jpg,a pink anthurium with water droplets on it
80,image_02022.jpg,a white anthurium in a flower pot
80,image_02000.jpg,a pink anthurium in a glass vase with a green stem
80,image_02031.jpg,pink anthuriums in the garden
80,image_02032.jpg,a pink anthurium in the middle of the flower bed
80,image_01980.jpg,a red anthurium with a yellow flower bud
80,image_01967.jpg,a close up of a red anthurium
80,image_01978.jpg,a red anthurium with a green stem
80,image_02008.jpg,a pink anthurium with water droplets on it
80,image_01976.jpg,a red anthurium in a pot with a green plant
80,image_02029.jpg,a close up of a anthurium in a plant
80,image_02030.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_02019.jpg,a pink anthurium with a yellow flower bud
80,image_02066.jpg,a red anthurium with a heart shaped flower
80,image_02043.jpg,a red anthurium in a pot with green leaves
80,image_01994.jpg,a pink anthurium with green leaves and pink flowers
80,image_02018.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_01974.jpg,a red anthurium with a red flower in the middle of the flower
80,image_01995.jpg,a red anthurium with water droplets on it
80,image_02004.jpg,a red anthurium in a flower pot on a green plant
80,image_01987.jpg,a red anthurium with a yellow flower in the middle of the flower
80,image_02057.jpg,a red anthurium with a yellow flower bud
80,image_02010.jpg,a red anthurium with a white flower on it
80,image_02059.jpg,a red anthurium in the rain
80,image_02034.jpg,a red anthurium with a yellow flower bud
80,image_02002.jpg,a red anthurium in the garden
80,image_02056.jpg,a red anthurium in the garden
80,image_01970.jpg,a red anthurium in the middle of the garden
